system:time_start,0
"Jul 21, 2017",0.43
"Jul 22, 2017",0.413
"Jul 24, 2017",
"Jul 26, 2017",0.184
"Jul 27, 2017",0.473
"Jul 29, 2017",0.513
"Jul 31, 2017",
"Aug 1, 2017",
"Aug 3, 2017",0.466
"Aug 5, 2017",0.513
"Aug 6, 2017",0.449
"Aug 8, 2017",0.493
"Aug 10, 2017",
"Aug 11, 2017",
"Aug 13, 2017",
"Aug 15, 2017",
"Aug 16, 2017",
"Aug 18, 2017",
"Aug 20, 2017",
"Aug 21, 2017",0.514
"Aug 23, 2017",
"Aug 25, 2017",0.398
"Aug 26, 2017",
"Aug 28, 2017",
"Aug 30, 2017",
"Aug 31, 2017",0.487
"Sep 2, 2017",
"Sep 4, 2017",
"Sep 5, 2017",
"Sep 7, 2017",
"Sep 9, 2017",0.359
"Sep 10, 2017",
"Sep 12, 2017",0.421
"Sep 15, 2017",0.311
"Sep 17, 2017",
"Sep 20, 2017",
"Sep 22, 2017",0.061
"Sep 24, 2017",0.368
"Sep 25, 2017",
"Sep 27, 2017",
"Sep 29, 2017",
"Sep 30, 2017",
"Oct 2, 2017",
"Oct 4, 2017",
"Oct 5, 2017",
"Oct 7, 2017",0.18
"Oct 9, 2017",0.166
"Oct 10, 2017",
"Oct 10, 2017",
"Oct 12, 2017",
"Oct 14, 2017",0.051
"Oct 15, 2017",
"Oct 17, 2017",0.107
"Oct 17, 2017",0.091
"Oct 19, 2017",
"Oct 20, 2017",0.122
"Oct 22, 2017",
"Oct 24, 2017",
"Oct 25, 2017",
"Oct 27, 2017",
"Oct 29, 2017",0.118
"Oct 30, 2017",0.177
"Nov 1, 2017",0.151
"Nov 3, 2017",0.145
"Nov 4, 2017",0.18
"Nov 6, 2017",0.18
"Nov 8, 2017",0.081
"Nov 9, 2017",
"Nov 11, 2017",
"Nov 13, 2017",
"Nov 14, 2017",
"Nov 16, 2017",0.056
"Nov 18, 2017",
"Nov 19, 2017",0.117
"Nov 21, 2017",
"Nov 23, 2017",0.07
"Jan 25, 2018",
"Jan 27, 2018",0.077
"Jan 28, 2018",
"Jan 30, 2018",0.096
"Feb 1, 2018",0.079
"Feb 2, 2018",0.091
"Feb 4, 2018",0.089
"Feb 6, 2018",0.086
"Feb 7, 2018",0.096
"Feb 9, 2018",
"Feb 11, 2018",0.044
"Feb 12, 2018",
"Feb 14, 2018",
"Feb 16, 2018",0.103
"Feb 17, 2018",0.099
"Feb 19, 2018",
"Feb 21, 2018",
"Feb 22, 2018",
"Feb 24, 2018",0.101
"Feb 26, 2018",
"Feb 27, 2018",
"Mar 1, 2018",
"Mar 3, 2018",
"Mar 4, 2018",
"Mar 6, 2018",
"Mar 8, 2018",
"Mar 9, 2018",
"Mar 11, 2018",
"Mar 13, 2018",0.114
"Mar 14, 2018",
"Mar 16, 2018",
"Mar 18, 2018",
"Mar 19, 2018",
"Mar 21, 2018",
"Mar 23, 2018",0.102
"Mar 24, 2018",0.094
"Mar 26, 2018",
"Mar 28, 2018",
"Mar 29, 2018",
"Mar 31, 2018",
"Apr 2, 2018",
"Apr 3, 2018",
"Apr 5, 2018",
"Apr 7, 2018",0.075
"Apr 8, 2018",0.076
"Apr 10, 2018",0.075
"Apr 12, 2018",
"Apr 13, 2018",0.066
"Apr 15, 2018",0.053
"Apr 18, 2018",0.054
"Apr 20, 2018",0.068
"Apr 20, 2018",0.068
"Apr 22, 2018",
"Apr 23, 2018",
"Apr 25, 2018",
"Apr 27, 2018",0.119
"Apr 28, 2018",
"Apr 30, 2018",0.118
